"id","gender","age","height","weight"
20307,"F",25,180,97
20322,"F",23,157,50
20352,"F",23,178,65
20407,"M",25,171,74
20413,"F",25,170,54
20414,"F",22,NULL,47
20418,"M",19,NULL,NULL
20422,"F",18,150,54
20429,"M",28,181,70
20478,"M",27,175,75
20502,"M",23,176,60
20505,"F",25,NULL,51
20525,"F",32,153,40
20526,"M",23,170,60
20536,"F",19,NULL,NULL
20537,"M",28,190,75
20556,"M",23,177,72
20580,"F",20,163,55
20647,"M",29,195,84
20693,"M",24,179,59
20694,"M",25,190,86
20706,"F",27,172,55
20717,"M",30,170,70
20727,"F",17,177,59
20742,"F",29,170,60
20758,"F",15,164,54
20769,"F",20,173,61
20785,"F",22,163,56
20812,"M",27,173,53
20844,"F",21,175,60
20864,"M",22,170,63
20945,"M",32,170,66
20955,"M",29,180,82
20956,"M",25,185,73
21009,"M",26,181,75
21122,"M",28,194,74
21128,"M",24,178,78
21205,"F",24,165,55
21206,"F",24,173,69
21289,"M",19,191,NULL
21347,"F",24,168,64
21439,"M",19,188,71
21460,"M",23,189,74
21462,"F",41,153,43
21524,"M",30,NULL,NULL
21527,"F",28,170,56
21546,"M",26,187,110
21612,"F",21,166,62
21676,"F",35,164,47
21762,"M",31,174,65
21769,"M",33,191,98
21822,"F",27,NULL,NULL
21844,"M",25,187,71
21869,"F",19,167,56
21872,"F",28,170,52
21873,"M",26,187,77
21894,"M",30,175,71
21936,"M",19,190,68
21944,"F",22,NULL,NULL
21954,"M",25,181,72
21990,"M",30,188,86
22002,"M",25,180,74
22069,"M",30,180,64
22121,"F",17,170,54
22143,"F",25,173,54
22166,"M",27,192,80
22170,"M",33,173,64
22182,"M",24,180,76
22196,"M",26,190,80
22203,"M",28,177,84
22219,"M",24,183,75
22227,"M",33,186,79
22342,"M",20,175,72
22355,"F",22,186,74
22368,"F",30,164,60
22409,"M",29,172,71
22431,"M",22,173,64
22468,"M",40,180,77
22496,"M",27,179,74
22497,"M",23,178,74
22539,"M",42,171,57
22575,"F",29,180,100
22604,"M",28,189,83
22622,"F",19,162,53
22641,"M",21,188,88
22649,"F",29,160,50
22662,"M",21,193,80
22674,"F",25,176,63
22675,"F",30,161,49
22694,"F",38,163,54
22810,"M",23,180,74
22837,"F",29,168,56
22863,"F",29,163,73
22865,"F",17,170,61
22901,"M",37,173,62
22961,"M",38,178,58
